year_month,avg_price,trade_count
2023-11,820708333.3333334,24
2023-12,962050000.0,20
2024-01,958225000.0,20
2024-02,850022727.2727273,22
2024-03,1059103225.8064516,31
2024-04,1002514705.882353,34
2024-05,1234158225.8064516,62
2024-06,1174864062.5,64
2024-07,1214573333.3333333,60
2024-08,915262500.0,40
2024-09,1240966666.6666667,30
2024-10,1218300000.0,38
2024-11,1206190000.0,40
2024-12,964764705.882353,17
2025-01,1151930769.2307692,26
2025-02,1298703389.8305085,59
2025-03,1366517777.7777777,90
2025-04,992367441.8604652,43
2025-05,1352078688.5245903,61
2025-06,1340054285.7142856,105
2025-07,1153577500.0,40
2025-08,948528571.4285715,42
2025-09,1201734090.909091,66
2025-10,1202182352.9411764,85
