year_month,avg_price,trade_count
2023-11,1995000000.0,3
2023-12,1365000000.0,4
2024-01,1877500000.0,4
2024-02,2140000000.0,1
2024-03,1490000000.0,4
2024-04,1611800000.0,5
2024-05,1820708333.3333333,24
2024-06,1760631578.9473684,19
2024-07,2142500000.0,14
2024-08,1960000000.0,3
2024-09,1862000000.0,4
2024-10,2165000000.0,5
2024-11,2074285714.2857144,7
2024-12,2330000000.0,1
2025-01,1723000000.0,5
2025-02,2128277777.7777777,18
2025-03,2101575757.5757575,33
2025-04,1658333333.3333333,6
2025-05,2482500000.0,12
2025-06,2108625000.0,24
2025-07,2576666666.6666665,6
2025-08,1646000000.0,3
2025-09,2021428571.4285715,7
2025-10,1782941176.4705882,17
